揽收量,派件量,网点得分,揽收出港及时率,派件出门准点率,当日签收率,虚假签收率,遗失率,升级投诉率,总投诉率,一次性解决率,二次投诉率,签收好评率,代收好评率,及时揽收率
0,8270,30.96,0,39.47,92.9,37.48,16916.6,362.76,122.13,66.5,22.77,90,97.58,100
70406,188873,40.44,97.12,76.05,93.74,6.35,15.4,15.88,18.53,62.28,23.71,91.46,95.22,94.39
104048,83644,68.17,99.96,92.96,98.05,2.12,18.6,0,4.4,81.54,9.62,91.84,96.02,98.72
62700,73934,57.26,99.76,84.02,97.64,3.25,25.7,0,6.49,67.84,20.83,91.53,95.09,97.63
507,90166,73.46,99.35,94.81,98.09,1.33,4.4,11.09,4.21,75.45,7.89,97.69,96.3,100
232965,191968,76.15,95.24,90.44,97.79,2.03,3.1,0,4.43,79.28,4.71,90.75,95.51,94.52
143329,184266,86.46,99.09,91.53,98.31,1.9,2.2,0,3.91,85.19,1.39,92.5,95.24,99.22
2665,43833,55.32,99.53,59.16,94.57,4.56,6.8,0,6.84,81.3,10,89.74,95.51,97.97
629622,106030,68.22,99.83,94.89,98.52,2.45,3.8,0,7.36,72.49,17.95,90.29,93.75,98.64
18573,30116,63.32,99.94,96.98,98.66,3.65,0,0,10.29,72.09,6.45,94.52,94.86,98.48
24986,186957,57.53,99.79,91.01,98.43,2.35,8,0,4.81,79.57,6.67,92,96.25,88.56
301234,319740,64.42,97.54,92.33,97.6,2.41,13.8,0,4.6,79.83,6.12,88.68,94.5,97.03
215123,306486,59.65,97.92,96.72,98.59,3.39,5.9,3.26,7.24,72.43,9.46,89.51,95.76,95.47
155349,371303,77.18,99.26,87.7,97.18,1.94,1.3,0,3.93,82.21,6.85,88.1,93.47,94.83
209265,49174,69.79,96.87,88.79,94.4,2.24,4.1,0,6.51,71.88,25,91.86,93.45,99.76
276439,160722,71.86,99.66,91.09,96.32,2.3,2.5,0,5.54,80.19,10.11,89.65,96.92,93.68
31342,53693,66.7,99.64,92.28,99.21,3.72,1.9,0,7.26,79.63,7.69,92.37,95.73,99.3
119454,221089,65.65,98.71,96.51,98.82,2.22,10.4,0,4.98,75.54,9.09,91.46,95.45,97.01
6308,95345,81.38,99.8,94.16,98.56,1.36,1,0,2.94,75.16,14.29,90.13,96.54,98.96
54978,60332,69.01,98.58,91.14,97.34,3.15,6.6,0,6.96,80.11,,95.65,94.11,97.12
1078,78307,43.8,100,18.96,95.66,4.21,1.3,0,15.45,60.4,9.92,87.66,96.74,87.78
7703,37441,46.33,99.06,92.08,97.38,3.74,32.1,26.71,10.42,74.51,7.69,87.34,95.35,98.68
256601,446862,43.79,99.89,61.7,93.99,3.74,14.1,11.19,9.11,71.81,13.76,91.2,96.07,99.1
349248,377748,70.28,96.89,86.18,97.74,3.94,1.9,0,5.64,82.38,1.41,88.25,90.51,98.44
21042,69114,59.99,99.97,82.22,95.59,2.89,4.3,14.47,6.95,76.96,12.5,90.91,96.8,98.59
617327,272039,70.47,98.56,80.26,98.28,1.96,1.5,6.13,5.43,82.86,8.47,93.46,96.23,95.57
128965,122243,55.11,99.9,50.7,98.28,4.09,6.5,0,7.2,79.79,9.09,91.55,96.52,96.77
73398,73758,59.2,98.27,93.28,98.75,1.76,4.1,0,5.69,81.46,7.14,89.29,95.25,77.15
162151,43026,42.34,99.88,83.73,96.11,4.42,13.9,23.24,23.01,73.66,12.12,88,97.44,93.97
2,1872,40,100,21.71,76.95,106.84,22489.3,0,208.33,59.18,28.21,100,100,100
1271588,120369,52.07,89.22,81.15,96.11,2.99,2.5,24.92,29.16,74.43,9.97,91.71,94.44,94.63
2428,52332,67.32,99.86,74.66,93.03,4.97,3.8,0,7.45,84.71,2.56,100,100,97.3
14985,37304,82.76,99.78,94.86,98.05,3.22,0,0,5.63,90.74,4.76,100,100,97.62
250056,153071,66.04,99.99,87.73,96.37,2.87,3.3,0,6.27,80.94,10.42,86.06,89.27,96.53
56,11984,56.61,97.67,80.54,96.91,3.34,8.3,0,11.68,58.82,35.71,100,100,100
57586,245247,78.68,98.55,93.68,97.64,2.08,1.6,0,3.26,84.26,3.75,90.73,95.6,92.04
76803,104193,55.25,99.87,81.08,91.6,6.43,1.9,0,27.74,61.86,23.18,88.26,93.26,97.75
35161,146886,44.72,92.17,82.59,96.92,5.45,23.8,6.81,8.31,82.35,7.38,87.33,94.77,98.05
41319,174924,68.49,99.34,89.33,98.09,2.69,2.9,0,4.63,75.49,8.64,87.9,96.52,92.67
852187,193806,81.45,99.79,93.63,98.07,1.75,2.6,0,3.82,81.57,2.7,88.67,93.56,96.99
683409,58513,60.17,99.62,89.13,93.4,4.1,1.7,17.09,9.4,73.76,10.91,100,100,96.25
45913,124440,88.68,99.2,88.42,98.01,2.09,0.8,0,4.42,92.34,3.64,100,100,93.8
142883,148906,63.54,99.73,77.49,97.22,4.03,1.3,0,7.25,89.11,3.7,100,100,89.25
90870,257261,63,99.21,95.98,98.39,3.23,7,0,5.44,74.2,12.86,88.08,92.93,96.04
10401,74424,74.71,94.14,85.09,98.92,3.09,6.7,0,4.84,88.19,,94.17,93.3,96.89
60380,74266,75.48,92.09,91.96,97.15,3.23,0,0,5.79,85.76,4.65,100,100,93.89
131578,282637,71.55,98.26,97.7,98.75,2.41,4.2,3.54,4,81.85,8.85,92.44,94.7,94.98
7358,50343,75.39,99.45,93.05,98.55,2.98,4,0,4.97,84.75,4,100,100,92.87
614,42885,73.83,98.97,66.05,98.01,2.1,4.7,0,3.5,80.46,13.33,100,100,100
108189,159967,76.38,99.87,97.25,99.35,1.63,6.9,6.25,3,84.98,2.08,90.34,94.56,95.96
8293,55717,72.64,99.78,94.99,98.62,1.97,0,0,4.49,75.95,8,100,100,89.99
1973326,424449,68.43,98.27,85,95.96,0.85,1.6,4.71,5.68,75.32,7.47,92.83,94.72,93.26
26372,93244,95.07,98.41,93.22,97.8,1.18,0,0,1.82,92.75,,93.42,94.64,97.76
16329,87559,62.84,98.32,91.12,98.06,2.4,3.4,0,5.03,70.53,2.27,95.4,95.49,80.93
8086,120009,73.45,98.68,94.85,98.77,2.92,5,0,4.75,83.22,3.51,89.14,95.35,98.95
2060,107773,75.03,98.79,49.18,98.46,3.71,2.8,0,5.47,86.14,1.69,100,100,99.63
62269,90254,83.52,99.89,94.88,97.88,1.11,2.2,0,4.21,85.71,18.42,92.96,95.35,96.14
227166,207178,69.67,99.72,91.54,96.54,2.51,1.4,4.83,4.44,78.77,10.87,87.39,96.14,96.68
29857,71760,67.58,99.52,93.41,99.01,3.48,4.2,13.94,6.55,88.37,4.26,90.77,94.92,95.31
631,113990,60.98,100,90.99,96.45,0.96,7,0,2.28,80.93,7.69,92.91,95.14,0
33753,178696,50.38,98.4,78.35,96.08,8.39,5,0,13.6,72.29,10.7,88.1,92.39,94.11
112903,173820,80.09,99.88,91.54,96.38,2.19,1.7,0,4.03,83.37,2.86,84.65,93.3,96.12
388269,476447,47.96,82.57,45.81,96.79,3.04,1.9,4.2,5.39,81.68,8.56,84.63,95.16,91.49
165397,241338,72.07,99.36,92.43,97.85,2.9,1.7,0,5.68,84.19,9.49,82.66,94.08,97.68
440,25358,69.1,0,9.91,0,1.97,0,0,2.76,92.23,,100,100,93.7
72524,127680,41.65,98.14,92.68,96.08,7.21,16.4,7.83,13.08,78.96,4.79,79.87,94.89,93.29
706096,41632,74.28,96.66,93.32,98.07,1.44,4.8,24.02,5.76,90.53,12.5,93.62,88.91,99.28
77506,39319,51.36,99.87,80.7,95.86,3.05,7.6,0,8.14,78.48,12.5,77.58,79.75,95.32
24734,194321,53.64,99.59,89.17,97.73,3.24,30.9,0,6.23,72.13,7.44,93.88,96,91.01
286270,410759,68.72,99.4,94.6,98.23,2.12,13.1,2.43,3.7,80.43,1.97,86.47,94.16,96.18
0,2139,35,0,39.49,95.45,28.05,1122,467.51,46.75,62.07,40,100,100,
145695,468883,65.96,97.58,88.76,97.05,2.71,1.9,0,4.22,81.91,4.04,85.73,95.53,88.87
6878,76271,78.32,98.77,93.08,98.34,3.41,1.3,0,5.24,88.14,,89.76,93.98,93.98
25459,174633,74.59,99.97,92.69,95.29,3.26,0,0,5.33,82.07,2.15,91.92,94.35,94.17
369459,399999,80.27,99.38,88.52,98.34,2.3,2.5,0,4.33,88.51,6.94,90.44,95.32,94.86
